[2019/10/31 13:06:34] [Info] HTTP set rewrite url [/api/basicdata/healthcheck] to [/api/basicdata/healthcheck]
[2019/10/31 13:06:34] [Info] register HomeController.HealthCheck to [GET:/api/basicdata/healthcheck]
[2019/10/31 13:06:35] [Info] HTTP set rewrite url [/api/basicdata/staff/add] to [/api/basicdata/staff/addstaff]
[2019/10/31 13:06:35] [Info] register StaffController.AddStaff to [POST:/api/basicdata/staff/addstaff]
[2019/10/31 13:06:35] [Info] HTTP set rewrite url [/api/basicdata/staff/modify] to [/api/basicdata/staff/modifystaff]
[2019/10/31 13:06:35] [Info] register StaffController.ModifyStaff to [PUT:/api/basicdata/staff/modifystaff]
[2019/10/31 13:06:35] [Info] init BeetleX.FastHttpApi.Admin._Admin controller path F:\git\proj\src\BasicData\Lmf.BasicData.Api\bin\Debug\netcoreapp3.0\
[2019/10/31 13:06:35] [Info] register _Admin.CloseClients to [POST:/__system/admin/closeclients]
[2019/10/31 13:06:35] [Info] register _Admin.ListClients to [GET/POST:/__system/admin/listclients]
[2019/10/31 13:06:35] [Info] register _Admin.ListRewrite to [GET/POST:/__system/admin/listrewrite]
[2019/10/31 13:06:35] [Info] register _Admin.SaveRewrite to [POST:/__system/admin/saverewrite]
[2019/10/31 13:06:35] [Info] register _Admin.RemoveRewrite to [GET/POST:/__system/admin/removerewrite]
[2019/10/31 13:06:35] [Info] register _Admin.GetStatus to [GET/POST:/__system/admin/getstatus]
[2019/10/31 13:06:35] [Info] register _Admin.GetIPTables to [GET/POST:/__system/admin/getiptables]
[2019/10/31 13:06:35] [Info] register _Admin.SaveIPTables to [POST:/__system/admin/saveiptables]
[2019/10/31 13:06:35] [Info] register _Admin.SetActionInfo to [POST:/__system/admin/setactioninfo]
[2019/10/31 13:06:35] [Info] register _Admin.ListActions to [GET/POST:/__system/admin/listactions]
[2019/10/31 13:06:35] [Info] register _Admin.GetDayStats to [GET/POST:/__system/admin/getdaystats]
[2019/10/31 13:06:35] [Info] register _Admin.SummaryUrl to [GET/POST:/__system/admin/summaryurl]
[2019/10/31 13:06:35] [Info] register _Admin.ListLog to [GET/POST:/__system/admin/listlog]
[2019/10/31 13:06:35] [Info] register _Admin.GetVersions to [GET/POST:/__system/admin/getversions]
[2019/10/31 13:06:35] [Info] register _Admin.CreateTokenKey to [GET/POST:/__system/admin/createtokenkey]
[2019/10/31 13:06:35] [Info] register _Admin.ChangeLogLevel to [GET/POST:/__system/admin/changeloglevel]
[2019/10/31 13:06:35] [Info] register _Admin.ChangePassword to [GET/POST:/__system/admin/changepassword]
[2019/10/31 13:06:35] [Info] register _Admin.GetSetting to [GET/POST:/__system/admin/getsetting]
[2019/10/31 13:06:35] [Info] register _Admin.Login to [GET/POST:/__system/admin/login]
[2019/10/31 13:06:35] [Info] register _Admin.Signout to [GET/POST:/__system/admin/signout]
[2019/10/31 13:06:35] [Info] load static resource /__system/admin/actionconfig.html
[2019/10/31 13:06:35] [Info] load static resource /__system/admin/actions.html
[2019/10/31 13:06:35] [Info] load static resource /__system/admin/donation.html
[2019/10/31 13:06:35] [Info] load static resource /__system/admin/eindex.html
[2019/10/31 13:06:35] [Info] load static resource /__system/admin/index.html
[2019/10/31 13:06:35] [Info] load static resource /__system/admin/log.html
[2019/10/31 13:06:35] [Info] load static resource /__system/admin/login.html
[2019/10/31 13:06:35] [Info] load static resource /__system/admin/options.html
